cave_name;longitude;latitude;elevation;length;depth;area;volume;lithology;relevance_surveyed;relevance_factor;geomorph_unit;description;user;cave_maps;
CH_0029;-43.512366;-20.231453;1259;13;6.4;32;38;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0022;-43.517998;-20.231952;1485;13.5;2;36;36;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0070;-43.510877;-20.232001;1185;23.14;8.28;71.97;98.59;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0021;-43.517979;-20.232007;1488;23;1;60;73;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0028;-43.510818;-20.232163;1183;22.7;6.4;69.3;130.1;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0077;-43.506959;-20.233377;1047;6.75;2.24;15.71;10.52;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0076;-43.507092;-20.233423;1065;10.46;5.68;48.11;43.29;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0031;-43.507101;-20.233513;1061;8.5;4.2;36;42;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0002;-43.520051;-20.233569;1507;7.4;0.7;16.7;25.8;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0079;-43.504227;-20.234727;986;7.73;1.7;23.68;14.91;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0012;-43.510970;-20.235236;1176;5.85;1.9;16.5;23.1;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0071;-43.511066;-20.235273;1080;6.07;1.43;21.2;19.92;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0072;-43.510911;-20.235434;1080;9.57;2.32;21.91;12.26;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0011;-43.510603;-20.235621;1152;28.9;9;139.4;260.6;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0073;-43.510458;-20.235746;1157;28.16;8.52;147.08;223.56;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0013;-43.509048;-20.236123;1119;11.5;5;26.5;58.3;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0035;-43.508871;-20.238633;1020;10.28;2.1;20.5;19.5;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
